,DATASET,COMPRESSION_TYPE,IMAGE,COMPRESSION_LEVEL,ACCURACY,F1_SCORE,MCC,JACCARD
0,trace,jpeg,1,80,0.9799830431610702,7.387161113983896e-05,-0.0022025888234095577,3.693716987404425e-05
1,trace,jpeg,1,85,0.9800111402488317,0.00019724352178308145,-0.00156000505699598,9.863148810257675e-05
2,trace,jpeg,1,90,0.9800348009543152,9.87483644802133e-05,-0.0018492484996451403,4.937662017034934e-05
3,trace,jpeg,1,95,0.9800224776702092,4.934616333580064e-05,-0.0021229212181284028,2.467369044387969e-05
4,trace,jpeg,1,100,0.9800335686259045,0.0003701829937932651,-0.0006902904188807569,0.000185125762101054
5,trace,jpeg,2,80,0.9092170771141826,0.00016829487433530312,0.0002359910288791401,8.415451855471401e-05
6,trace,jpeg,2,85,0.9092025356389376,0.000265945899005688,0.0010077591775646759,0.00013299063365965796
7,trace,jpeg,2,90,0.9092395054912554,0.00011947042021005072,0.00039882936504379935,5.973877861351726e-05
8,trace,jpeg,2,95,0.9092503499812686,0.00027151483557061556,0.0035383146987271134,0.00013577585036415082
9,trace,jpeg,2,100,0.9092271822071495,0.00028230031324477065,0.002268859509058018,0.00014117008280168319
10,trace,jpeg,3,80,0.6500524971902912,0.0019456907659118913,-0.014253634442468431,0.0009737927327199284
11,trace,jpeg,3,85,0.650459904962833,0.001576965046288148,-0.009783852323172177,0.0007891047184234815
12,trace,jpeg,3,90,0.6505831378038922,0.0011920513004772433,-0.00947211140116995,0.0005963811086767106
13,trace,jpeg,3,95,0.6505984186761835,0.0011456561594167158,-0.009430840611020855,0.0005731563997882212
14,trace,jpeg,3,100,0.6505131415501706,0.0013690738609713946,-0.009841416431386332,0.000685005842282338
15,trace,jpeg,4,80,0.9970157042976707,0.0,-0.0006883012424182694,0.0
16,trace,jpeg,4,85,0.9970189417631755,0.0,-0.000681623926351322,0.0
17,trace,jpeg,4,90,0.9970357765838005,0.0,-0.0006457906243654392,0.0
18,trace,jpeg,4,95,0.9970344815975986,0.0,-0.0006486172750801907,0.0
19,trace,jpeg,4,100,0.9970195892562764,0.00043431053203040176,0.0002679326958682737,0.00021720243266724586
20,trace,jpeg,5,80,0.9099735304820327,0.0015009246126501373,-0.007886502825205706,0.0007510259229713316
21,trace,jpeg,5,85,0.9103840411080419,0.0019182162031578453,-0.004111575347835459,0.0009600288730488135
22,trace,jpeg,5,90,0.9102966295394123,0.002038574438581642,-0.004264457907623167,0.0010203272257915648
23,trace,jpeg,5,95,0.910408322099328,0.0016955022294050592,-0.004743240130476304,0.0008484704064353773
24,trace,jpeg,5,100,0.9102218440862513,0.001627292430210036,-0.00612467664018725,0.0008143087743572005
25,trace,jpeg,6,80,0.5390140386852534,0.011720582827142802,0.023540206556874964,0.005894836875497282
26,trace,jpeg,6,85,0.5384742788414141,0.009183399191082008,0.015716028916011017,0.004612880557330376
27,trace,jpeg,6,90,0.5401093321765877,0.014570654206002329,0.03959718697740151,0.007338792607689267
28,trace,jpeg,6,95,0.5409243941873534,0.016329074148889258,0.051786461598847644,0.008231745465484972
29,trace,jpeg,6,100,0.5411181162134985,0.018545822392991997,0.051038913790321085,0.009359702890222619
30,trace,jpeg,7,80,0.6658147169588107,0.005010500918004782,0.026259313332867313,0.0025115425020083514
31,trace,jpeg,7,85,0.665873622256837,0.005725069069738617,0.027870591773940304,0.002870752162074297
32,trace,jpeg,7,90,0.6656414515842815,0.0051086149024002275,0.021344188839460973,0.002560848645977931
33,trace,jpeg,7,95,0.6651951022339649,0.002065769638769471,0.00448632771000119,0.0010339527735084533
34,trace,jpeg,7,100,0.6651625687639253,0.0012820701315886202,0.0006228973306469543,0.0006414462553368034
35,trace,jpeg,8,80,0.9991053295739102,0.0,-0.00036832081979701087,0.0
36,trace,jpeg,8,85,0.999111244750281,0.0,-0.0003626383655802014,0.0
37,trace,jpeg,8,90,0.9991233215687048,0.0,-0.0003507511712942738,0.0
38,trace,jpeg,8,95,0.9991127235443736,0.0,-0.0003612037947527241,0.0
39,trace,jpeg,8,100,0.9990944850838969,0.0,-0.00037851732387480315,0.0
40,trace,jpeg,9,80,0.5630616952895479,0.008833645679117262,-0.007870436459805156,0.004436417710628758
41,trace,jpeg,9,85,0.5633650945442357,0.006210953649524277,-0.007398440977460678,0.003115150853543456
42,trace,jpeg,9,90,0.5637276455626319,0.00556398867876617,-0.003008010226819232,0.002789755423178631
43,trace,jpeg,9,95,0.5637291243567246,0.005242110421504342,-0.0034038304354631023,0.0026279431949568733
44,trace,jpeg,9,100,0.5637448981603802,0.005025340306601971,-0.0034442491060983483,0.0025189995683325126
45,trace,jpeg,10,80,0.7708689887020131,0.031668491184506146,0.04543475265248469,0.016089002814146724
46,trace,jpeg,10,85,0.7709732436855492,0.027735228385606308,0.04196877260002873,0.014062629310619227
47,trace,jpeg,10,90,0.7710728158211251,0.032716275659824046,0.04824694981349939,0.016630176550053572
48,trace,jpeg,10,95,0.7711026381686614,0.032617628769011066,0.04839720481876963,0.0165792015044855
49,trace,jpeg,10,100,0.7710410217481318,0.03500684035738141,0.050315677015533515,0.017815247949131915
50,trace,jpeg,11,80,0.8297552864574228,0.001044816948070698,-0.0059996782500606315,0.0005226815272944294
51,trace,jpeg,11,85,0.8300379171959923,0.0006814595416708703,-0.004546721268445007,0.0003408459071832799
52,trace,jpeg,11,90,0.829919102211966,0.0005555090517536584,-0.0069854381411443185,0.0002778316948875162
53,trace,jpeg,11,95,0.8299903264530717,0.0005557416486494717,-0.006079244932814317,0.00027794805798072637
54,trace,jpeg,11,100,0.8299637792359322,0.0005556549306763387,-0.0064264369417579015,0.0002779046748895995
55,trace,jpeg,12,80,0.9994607330875249,0.0,-0.0002659892312918005,0.0
56,trace,jpeg,12,85,0.9994471774750083,0.0,-0.00027166752549287134,0.0
57,trace,jpeg,12,90,0.9994720705089023,0.0,-0.00026114543637593236,0.0
58,trace,jpeg,12,95,0.9994804503420943,0.0,-0.0002575067583694495,0.0
59,trace,jpeg,12,100,0.9994893231066506,0.0,-0.0002535972091749265,0.0
60,trace,jpeg,13,80,0.9990727961038705,0.0,-0.00045767904623394794,0.0
61,trace,jpeg,13,85,0.9991400812350888,0.0005729017473503294,0.00017585984069240021,0.00028653295128939826
62,trace,jpeg,13,90,0.9991447640830491,0.0,-0.00041309487010660306,0.0
63,trace,jpeg,13,95,0.9991548691760159,0.0,-0.0004064439462163883,0.0
64,trace,jpeg,13,100,0.9991561015044266,0.0,-0.0004056254067808079,0.0
65,trace,jpeg,14,80,0.7873687693357627,0.0,,0.0
66,trace,jpeg,14,85,0.7873687693357627,0.0,,0.0
67,trace,jpeg,14,90,0.7873687693357627,0.0,,0.0
68,trace,jpeg,14,95,0.7873687693357627,0.0,,0.0
69,trace,jpeg,14,100,0.7873687693357627,0.0,,0.0
70,trace,jpeg,15,80,0.9016739949129483,0.002769639946806915,-0.0008502804386377086,0.0013867403591507341
71,trace,jpeg,15,85,0.9018507108070273,0.001649598255136192,-0.003609446453346062,0.0008254799827376831
72,trace,jpeg,15,90,0.901943874834868,0.0013604725006337995,-0.004056482672770538,0.0006806992866472421
73,trace,jpeg,15,95,0.9019749295108149,0.0015815118751459133,-0.0028697953031374744,0.0007913817273727634
74,trace,jpeg,15,100,0.9019278545655303,0.00174105888491952,-0.0026126519308231513,0.0008712879242506798
75,trace,jpeg,16,80,0.7872133604116963,0.0051737528259752355,-0.027775264950856304,0.0025935856986565343
76,trace,jpeg,16,85,0.7876966796143305,0.0041526827694879555,-0.028143620060869554,0.002080661548424617
77,trace,jpeg,16,90,0.7864537531794072,0.004792064378145797,-0.03156411241737646,0.0024017869479113895
78,trace,jpeg,16,95,0.7866827197980953,0.004538496131466868,-0.031262686325200593,0.002274409264557718
79,trace,jpeg,16,100,0.7855285210087347,0.004739618360073748,-0.03498356986285364,0.0023754385160387956
80,trace,jpeg,17,80,0.7372493444012855,0.00012380346762257951,-0.010018114131238525,6.190556587314986e-05
81,trace,jpeg,17,85,0.7372559989747027,0.00015944221485870137,-0.009532021830123227,7.972746339102475e-05
82,trace,jpeg,17,90,0.7372821243370073,0.00016320940986666542,-0.009013609750815993,8.16113648046768e-05
83,trace,jpeg,17,95,0.7373301851450204,0.00017261921514545985,-0.007963209131815327,8.631705756409511e-05
84,trace,jpeg,17,100,0.7373262416941065,0.0002026308235254386,-0.007720072797531334,0.00010132567761546905
85,trace,jpeg,18,80,0.6943174872330776,0.0039656216421110795,0.0026167839783520375,0.0019867501707929217
86,trace,jpeg,18,85,0.694415827040243,0.004093300914647126,0.004604464756570663,0.002050847825964474
87,trace,jpeg,18,90,0.6942657294398328,0.0038961685534550793,0.0015901325570094676,0.0019518867165500041
88,trace,jpeg,18,95,0.6943820612417927,0.0032346590826879823,0.0015099525700199336,0.0016199495335801368
89,trace,jpeg,18,100,0.6943347398308259,0.0036201494335984575,0.0018939135564019487,0.0018133570285090632
90,dresden,jpeg,1,80,0.9656278577960676,0.0,-0.014612156604630906,0.0
91,dresden,jpeg,1,85,0.9638226832799878,0.00026324448831852585,-0.01594489575004174,0.000131639570854999
92,dresden,jpeg,1,90,0.963553574150282,0.0002613012803762738,-0.01617841371552803,0.00013066771200836272
93,dresden,jpeg,1,95,0.9651015470202713,0.0,-0.015104510338684814,0.0
94,dresden,jpeg,1,100,0.9639512841030331,0.0,-0.01613000144511711,0.0
95,dresden,jpeg,2,80,0.9848346288675507,0.004066312167657179,0.0019672513860259887,0.002037298229117693
96,dresden,jpeg,2,85,0.9850251486053955,0.005063291139240506,0.004266723837209418,0.0025380710659898475
97,dresden,jpeg,2,90,0.9849775186709343,0.0015827793605571383,-0.00170861087795128,0.000792016473942658
98,dresden,jpeg,2,95,0.9850584895595184,0.004758883248730965,0.003893352841501906,0.0023851168707266657
99,dresden,jpeg,2,100,0.9850370560890108,0.0019062748212867356,-0.00101221251052934,0.0009540467482906663
100,dresden,jpeg,3,80,0.9951369836915105,0.0029296875,0.0011980662854052721,0.001466992665036675
101,dresden,jpeg,3,85,0.9951322206980643,0.001953125,8.31888698027595e-05,0.0009775171065493646
102,dresden,jpeg,3,90,0.9950083828684652,0.0009532888465204957,-0.001178798826293781,0.0004768717215069146
103,dresden,jpeg,3,95,0.9950822092668801,0.0019333011116481392,-1.2032450746900657e-06,0.0009675858732462506
104,dresden,jpeg,3,100,0.9951084057308337,0.007729468599033816,0.0065506174724895855,0.0038797284190106693
105,dresden,jpeg,4,80,0.9525582037799116,0.008658870365762628,0.01950580092748315,0.004348260695721712
106,dresden,jpeg,4,85,0.9525224813290657,0.007961783439490446,0.017267620373762026,0.003996802557953637
107,dresden,jpeg,4,90,0.9526105967078189,0.010836605855743899,0.025604970776178765,0.00544782087165134
108,dresden,jpeg,4,95,0.952732053040695,0.010370961308336658,0.026410112346127522,0.0052125100240577385
109,dresden,jpeg,4,100,0.9525939262307576,0.009257415886920167,0.02150176554359031,0.004650232511625581
110,dresden,jpeg,5,80,0.9546134354519128,0.002616705045007327,-0.004019528509998098,0.00131006655138081
111,dresden,jpeg,5,85,0.9547396547782351,0.0009462229932187353,-0.007381125670596431,0.0004733354370463869
112,dresden,jpeg,5,90,0.9547420362749581,0.0008412197686645636,-0.007618095381596168,0.00042078687144961075
113,dresden,jpeg,5,95,0.9546777358634354,0.0010498136580756915,-0.007318905851185118,0.0005251825009190694
114,dresden,jpeg,5,100,0.9547706142356348,0.00031582271818086113,-0.008772991488899894,0.0001579362990260595
115,dresden,jpeg,6,80,0.9518008878219784,0.0,,0.0
116,dresden,jpeg,6,85,0.9518008878219784,0.0,,0.0
117,dresden,jpeg,6,90,0.9508578151196464,0.0013550791269418769,-0.002253271304763858,0.0006779989345731028
118,dresden,jpeg,6,95,0.9508673411065386,0.001452011035283868,-0.001873863083003721,0.0007265329845975008
119,dresden,jpeg,6,100,0.9518008878219784,0.0,,0.0
120,dresden,jpeg,7,80,0.9288575483920134,0.0055923571119470055,0.004461093806894173,0.002804019094034783
121,dresden,jpeg,7,85,0.9286765546410608,0.0019328823274569267,-0.006362045117047795,0.0009673760757889119
122,dresden,jpeg,7,90,0.9286122542295382,0.0031923383878691143,-0.0032392765482830883,0.0015987210231814548
123,dresden,jpeg,7,95,0.9285550983081847,0.002792181890706023,-0.004575416946058327,0.0013980427401637707
124,dresden,jpeg,7,100,0.9286622656607224,0.0022649302201645403,-0.005505054013786981,0.0011337490413151489
125,dresden,jpeg,8,80,0.9537751486053955,0.0014404774153719518,-0.009450806879071162,0.0007207578253706755
126,dresden,jpeg,8,85,0.9537727671086724,0.0021590500179920835,-0.00811708936896977,0.001080691642651297
127,dresden,jpeg,8,90,0.9537227556774882,0.0009254498714652956,-0.010526310929999453,0.0004629391492207191
128,dresden,jpeg,8,95,0.9537584781283341,0.0014399588583183338,-0.009488396800356876,0.0007204981730224899
129,dresden,jpeg,8,100,0.9535155654625819,0.0021471294923572416,-0.008730185735145316,0.001074718526100307
130,dresden,jpeg,9,80,0.9862540009144948,0.002074688796680498,-0.0012343254822127436,0.0010384215991692627
131,dresden,jpeg,9,85,0.9861801745160799,0.0,-0.004535201882711887,0.0
132,dresden,jpeg,9,90,0.986458809632678,0.00035161744022503517,-0.0035636874508749514,0.00017583963425356076
133,dresden,jpeg,9,95,0.9864064167047706,0.0003502626970227671,-0.00365152360058687,0.00017516202487300754
134,dresden,jpeg,9,100,0.9863325903063558,0.00034837136387388956,-0.0037720275543887158,0.00017421602787456446
135,dresden,jpeg,10,80,0.9843940519737845,0.012060907583295644,0.0062367846572215,0.006067040800849386
136,dresden,jpeg,10,85,0.9854538180155464,0.005859375,0.000807109237728721,0.002938295788442703
137,dresden,jpeg,10,90,0.9855490778844689,0.0026298487836949377,-0.002886592373790618,0.0013166556945358788
138,dresden,jpeg,10,95,0.9858086610272824,0.005341345351360374,0.0007404712897186042,0.002677824267782427
139,dresden,jpeg,10,100,0.9853537951531779,0.005819592628516004,0.0006138031061649464,0.0029182879377431907
140,dresden,jpeg,11,80,0.9551230757506478,0.000848356309650053,-0.010538787981854663,0.000424358158285593
141,dresden,jpeg,11,85,0.9558613397347965,0.0011856003449019184,-0.008267884894784545,0.0005931517929361014
142,dresden,jpeg,11,90,0.9563662170400854,0.011651742367029885,0.014385938508322255,0.005860010851871948
143,dresden,jpeg,11,95,0.9560042295381802,0.006560550656055065,0.002829024484865853,0.003291070946857297
144,dresden,jpeg,11,100,0.9560732929431489,0.0148480478555787,0.018342881752961546,0.007479552303056393
145,dresden,jpeg,12,80,0.9661374980948026,0.0,,0.0
146,dresden,jpeg,12,85,0.9661374980948026,0.0,,0.0
147,dresden,jpeg,12,90,0.9661374980948026,0.0,,0.0
148,dresden,jpeg,12,95,0.9661374980948026,0.0,,0.0
149,dresden,jpeg,12,100,0.9661374980948026,0.0,,0.0
150,dresden,jpeg,13,80,0.9882044467306813,0.0020149103364900263,-0.0012643576579013634,0.001008471157724889
151,dresden,jpeg,13,85,0.9882877991159884,0.002029220779220779,-0.001086073465620651,0.0010156408693885843
152,dresden,jpeg,13,90,0.9882211172077427,0.0016148566814695195,-0.0018022369437954656,0.0008080808080808081
153,dresden,jpeg,13,95,0.9882758916323731,0.003239522170479854,0.0006248384193895185,0.0016223889677550193
154,dresden,jpeg,13,100,0.9883735329980186,0.0032666394446712946,0.000896816056780197,0.0016359918200408998
155,dresden,jpeg,14,80,0.9756253810394757,0.0007810211851996485,-0.006311739922307406,0.0003906631506983104
156,dresden,jpeg,14,85,0.9760373799725651,0.00039737730975561295,-0.0062452587099172015,0.0001987281399046105
157,dresden,jpeg,14,90,0.9759968945282731,0.0015849430411094601,-0.004292383513781606,0.0007931000297412512
158,dresden,jpeg,14,95,0.9762850556317635,0.0004015257980325236,-0.005789997736942073,0.00020080321285140563
159,dresden,jpeg,14,100,0.9764469974089316,0.0008082440897150939,-0.004714088582994482,0.0004042854255104103
160,dresden,jpeg,15,80,0.977447226032617,0.00021114864864864866,-0.006676571753342122,0.00010558547143912998
161,dresden,jpeg,15,85,0.9776067863130621,0.0010623605651758207,-0.00502586036744675,0.0005314625850340137
162,dresden,jpeg,15,90,0.9776353642737388,0.00021292451825827744,-0.006379478854429803,0.00010647359454855196
163,dresden,jpeg,15,95,0.977366255144033,0.0,-0.007134779671965317,0.0
164,dresden,jpeg,15,100,0.9760659579332419,0.00019896538002387584,-0.008551643809647048,9.949258780220874e-05
165,dresden,jpeg,16,80,0.9916266575217193,0.0011363636363636363,-0.0025204890776127976,0.0005685048322910744
166,dresden,jpeg,16,85,0.9919767375400091,0.0005932957579353308,-0.002804476127262768,0.0002967359050445104
167,dresden,jpeg,16,90,0.9916719059594574,0.0005715918833952558,-0.003107266584695196,0.0002858776443682104
168,dresden,jpeg,16,95,0.991459952751105,0.0,-0.003912547983331325,0.0
169,dresden,jpeg,16,100,0.9915933165675964,0.0005662514156285391,-0.003181091644884747,0.0002832058906825262
170,dresden,jpeg,17,80,0.9702193834781283,0.0011183001837207444,-0.006237392281670754,0.000559462915601023
171,dresden,jpeg,17,85,0.9708147576588935,0.0011410872931779282,-0.004844994046436796,0.0005708693524710488
172,dresden,jpeg,17,90,0.9714029873494894,0.008586525759577279,0.01331725398265574,0.004311774461028192
